广东频道,#genre#
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
探索纪录,http://61.221.215.25:8800/hls/1/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
东森超视,rtmp://f13h.mine.nu/sat/tv331
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721
DAZN1台,rtmp://f13h.mine.nu/sat/tv731
DAZN2台,rtmp://f13h.mine.nu/sat/tv741
MOMOTV,rtmp://f13h.mine.nu/sat/tv761
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
星空卫视,http://192.144.216.117:57890/hls/startv.m3u8
体育频道,#genre#
CCTV5,http://192.168.1.14:8124/udp/239.77.0.170:5146
CCTV5,http://192.168.1.14:8124/udp/239.77.0.177:5146
广东体育,http://192.168.1.14:8124/udp/239.77.0.112:5146
广东体育,http://192.168.1.14:8124/udp/239.77.0.168:5146
五星体育,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19019320240419154124000281
五星体育,http://[2409:8087:5e00:24::029]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19019320240419154124000281
劲爆体育,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
劲爆体育,http://[2409:8087:5e00:24::029]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
劲爆体育,http://120.77.28.4:8648/mgu.php?id=jbty
北京体育,http://123.118.51.121:8686/udp/239.3.1.243:8000$北京联通
睛彩篮球,http://123.118.51.121:8686/udp/239.3.1.126:8001$北京联通
睛彩竞技,http://123.118.51.121:8686/udp/239.3.1.125:8001$北京联通
睛彩篮球,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
睛彩竞技,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226124/index.m3u8
CCTV5+,http://192.168.1.14:8124/udp/239.77.0.87:5146
CCTV5+,http://192.168.1.14:8124/udp/239.77.1.31:5146
CCTV16,http://192.168.1.14:8124/udp/239.77.0.165:5146
CCTV16,http://192.168.1.14:8124/udp/239.77.1.98:5146
CCTV16,http://192.168.1.14:8124/udp/239.77.1.76:5146
风云足球,http://192.168.1.14:8124/udp/239.253.43.20:5146
风云足球,http://192.168.1.14:8124/udp/239.253.43.14:5146
央视台球,http://192.168.1.14:8124/udp/239.253.43.21:5146
央视台球,http://192.168.1.14:8124/udp/239.253.43.11:5146
央视高网,http://192.168.1.14:8124/udp/239.253.43.22:5146
央视高网,http://192.168.1.14:8124/udp/239.253.43.12:5146
电影轮播,#genre#
音乐1台,http://diyp2.112114.xyz/douyu/3870925
音乐2台,http://diyp2.112114.xyz/douyu/3186217
舌尖美食,http://diyp2.112114.xyz/douyu/9650849
舌尖上的中国系列,http://159.75.85.63:35455/yy/1354930952?cdn=hwcdn
舌尖上的中国第2季,http://159.75.85.63:35455/yy/1354930943?cdn=hwcdn
老广的味道 第3季,http://159.75.85.63:35455/yy/1382735565?cdn=hwcdn
探秘中华美食,http://159.75.85.63:35455/yy/1354930954?cdn=hwcdn
中国味道 第4季,http://159.75.85.63:35455/yy/1382736845?cdn=hwcdn
风味原产地潮汕,http://159.75.85.63:35455/yy/1382745178?cdn=hwcdn
寻味顺德美食纪录片,http://159.75.85.63:35455/yy/1382736844?cdn=hwcdn
川味来袭,http://159.75.85.63:35455/yy/1382736913?cdn=hwcdn
觅食者美食纪录片,http://159.75.85.63:35455/yy/1382736841?cdn=hwcdn
德爷单挑荒野,http://159.75.85.63:35455/yy/27772604?cdn=hwcdn
单挑荒野第1季,http://159.75.85.63:35455/yy/1354933535?cdn=hwcdn
荒野求生 德爷 贝爷,http://159.75.85.63:35455/yy/39123221?cdn=hwcdn
来看修牛蹄,http://159.75.85.63:35455/yy/1382749887?cdn=hwcdn
梦想改造家 第1季,http://159.75.85.63:35455/yy/1382736892?cdn=hwcdn
易中天品三国,http://159.75.85.63:35455/yy/1354931498?cdn=hwcdn
百家讲坛-之明太祖朱元璋,http://159.75.85.63:35455/yy/1354936149?cdn=hwcdn
邵氏影院,http://diyp2.112114.xyz/douyu/4246519
吃米滴虫,http://diyp2.112114.xyz/douyu/315457
粤语电影,http://diyp2.112114.xyz/douyu/1226741
粤语影片,http://diyp2.112114.xyz/douyu/6566671
朱元璋,http://diyp2.112114.xyz/douyu/308752
汉武大帝,http://159.75.85.63:35455/yy/1355260855?cdn=hwcdn
大宋提刑官,http://159.75.85.63:35455/huya/26355856?cdn=txcdn
西游记,http://159.75.85.63:35455/huya/26355861?cdn=txcdn
西游记2,http://159.75.85.63:35455/huya/29465859?cdn=txcdn
三国演义,http://159.75.85.63:35455/yy/1354936241?cdn=hwcdn
新三国1,http://159.75.85.63:35455/yy/26744898?cdn=hwcdn
新三国2,http://159.75.85.63:35455/yy/1382705738?cdn=hwcdn
新三国3,http://159.75.85.63:35455/yy/23512910?cdn=hwcdn
老三国,http://diyp2.112114.xyz/douyu/7459925
新三国,http://diyp2.112114.xyz/douyu/5908256
少年包青天1-3,http://159.75.85.63:35455/yy/38498680?cdn=hwcdn
少年包青天,http://159.75.85.63:35455/yy/1382651363?cdn=hwcdn
少年包青天,http://159.75.85.63:35455/yy/1356043677?cdn=hwcdn
使徒行者,http://159.75.85.63:35455/huya/23734256?cdn=txcdn
大明王朝,http://159.75.85.63:35455/yy/1382736879?cdn=hwcdn
小兵张嘎,http://159.75.85.63:35455/yy/1354930225?cdn=hwcdn
雍正王朝,http://159.75.85.63:35455/yy/23206872?cdn=hwcdn
谈判专家,http://159.75.85.63:35455/yy/1382735560?cdn=hwcdn
读心神探,http://159.75.85.63:35455/yy/1382736875?cdn=hwcdn
读心神探2节点,http://159.75.85.63:35455/yy/1382851589?cdn=hwcdn
法外风云,http://159.75.85.63:35455/yy/1382736805?cdn=hwcdn
破案港剧,http://159.75.85.63:35455/yy/1350670730?cdn=hwcdn
火线追凶侦探系列电影,http://159.75.85.63:35455/yy/1382745090?cdn=hwcdn
案发现场全集,http://159.75.85.63:35455/yy/1354775242?cdn=hwcdn
案发现场】14部全集,http://159.75.85.63:35455/yy/33567888?cdn=hwcdn
心理追凶,http://159.75.85.63:35455/yy/1354936207?cdn=hwcdn
机动部队,http://159.75.85.63:35455/yy/1354932371?cdn=hwcdn
读心神探,http://159.75.85.63:35455/yy/1382736875?cdn=hwcdn
刑事侦缉档案,http://159.75.85.63:35455/yy/1382851585?cdn=hwcdn
刑事侦缉档案,http://159.75.85.63:35455/huya/23734169?cdn=hwcdn
刑事侦缉档案,http://159.75.85.63:35455/huya/23734169&cdn=txcdn
鉴证实录,http://159.75.85.63:35455/huya/23903183?cdn=hwcdn
扫黄先锋,http://159.75.85.63:35455/huya/23903196?cdn=hwcdn
创世纪,http://159.75.85.63:35455/huya/23749083?cdn=hwcdn
流金岁月,http://159.75.85.63:35455/yy/1382736891?cdn=hwcdn
大时代,http://159.75.85.63:35455/huya/23865161?cdn=hwcdn
李卫当官,http://159.75.85.63:35455/huya/26355788?cdn=hwcdn
楚汉骄雄,http://159.75.85.63:35455/huya/23740156?cdn=hwcdn
洗冤录,http://159.75.85.63:35455/huya/23903130?cdn=hwcdn
金玉满堂,http://159.75.85.63:35455/yy/1382736881?cdn=hwcdn
聊斋志异S1,http://159.75.85.63:35455/yy/1382736975?cdn=hwcdn
法证先锋Ⅰ,http://159.75.85.63:35455/yy/1354930939?cdn=hwcdn
法证先锋Ⅱ,http://159.75.85.63:35455/yy/1354888736?cdn=hwcdn
法证先锋Ⅲ,http://159.75.85.63:35455/huya/23863804?cdn=txcdn
法证先锋Ⅱ,http://159.75.85.63:35455/yy/1382736870?cdn=hwcdn
法证先锋Ⅲ,http://159.75.85.63:35455/yy/1382736802?cdn=hwcdn
法证先锋Ⅳ,http://159.75.85.63:35455/yy/1354932426?cdn=hwcdn
法证先锋Ⅳ,http://159.75.85.63:35455/huya/23829543?cdn=hwcdn
法证先锋Ⅳ,http://159.75.85.63:35455/huya/23829543?cdn=txcdn
神探狄仁杰hy,http://159.75.85.63:35455/huya/11342425?cdn=hwcdn
神探狄仁杰1,http://159.75.85.63:35455/yy/1351755386?cdn=hwcdn
神探狄仁杰2,http://159.75.85.63:35455/yy/1382829413?cdn=hwcdn
神探狄仁杰3,http://159.75.85.63:35455/yy/1382828767?cdn=hwcdn
神探狄仁杰4,http://159.75.85.63:35455/yy/1354930934?cdn=hwcdn
狄仁杰等你哦,http://159.75.85.63:35455/yy/1457579747?cdn=hwcdn
神探狄仁杰,http://159.75.85.63:35455/yy/38338029?cdn=hwcdn
中国第一神探狄仁杰,http://159.75.85.63:35455/yy/1354932438?cdn=hwcdn
燕双鹰1,http://159.75.85.63:35455/yy/1352227153?cdn=hwcdn
燕双鹰2,http://159.75.85.63:35455/yy/1354143942?cdn=hwcdn
燕双鹰3,http://159.75.85.63:35455/yy/1354825244?cdn=hwcdn
